"EdgeList","Nature","Cycles","Edge_count"
"GSC,SNAI1;GSC,TWIST1;TWIST1,SNAI1","P","SNAI1,GSC,TWIST1",3
"GSC,SNAI1;GSC,TWIST1;SNAI1,TWIST1","P","SNAI1,GSC,TWIST1",3
"GSC,FOXC2;GSC,TWIST1;TWIST1,FOXC2","P","FOXC2,GSC,TWIST1",3
"GSC,ZEB1;GSC,TWIST1;TWIST1,ZEB1","P","ZEB1,GSC,TWIST1",3
"GSC,ZEB2;GSC,TWIST1;TWIST1,ZEB2","P","ZEB2,GSC,TWIST1",3
"TGF-beta,SNAI1;TGF-beta,GSC;GSC,SNAI1","P","SNAI1,TGF-beta,GSC",3
"TGF-beta,SNAI2;TGF-beta,GSC;GSC,TWIST1;TWIST1,SNAI2","P","SNAI2,TGF-beta,GSC,TWIST1",4
"ZEB1,OVOL2;OVOL2,TGF-beta;TGF-beta,GSC;GSC,ZEB1","P","ZEB1,OVOL2,TGF-beta,GSC",4
"OVOL2,ZEB1;OVOL2,TGF-beta;TGF-beta,GSC;GSC,ZEB1","P","ZEB1,OVOL2,TGF-beta,GSC",4
"OVOL2,CDH1;OVOL2,TGF-beta;TGF-beta,GSC;GSC,TWIST1;TWIST1,CDH1","P","CDH1,OVOL2,TGF-beta,GSC,TWIST1",5
"OVOL2,OVOL2","N","OVOL2",1
"OVOL2,VIM;OVOL2,TGF-beta;TGF-beta,GSC;GSC,TWIST1;TWIST1,VIM","P","VIM,OVOL2,TGF-beta,GSC,TWIST1",5
"OVOL2,SNAI2;OVOL2,TGF-beta;TGF-beta,SNAI2","P","SNAI2,OVOL2,TGF-beta",3
"ZEB1,GRHL2;GRHL2,OVOL2;OVOL2,ZEB1","P","ZEB1,GRHL2,OVOL2",3
"GRHL2,ZEB1;GRHL2,OVOL2;OVOL2,ZEB1","P","ZEB1,GRHL2,OVOL2",3
"ZEB1,GRHL2;GRHL2,OVOL2;ZEB1,OVOL2","P","ZEB1,GRHL2,OVOL2",3
"GRHL2,ZEB1;GRHL2,OVOL2;ZEB1,OVOL2","P","ZEB1,GRHL2,OVOL2",3
"NP63,GRHL2;GRHL2,OVOL2;OVOL2,NP63","N","NP63,GRHL2,OVOL2",3
"GRHL2,NP63;GRHL2,OVOL2;OVOL2,NP63","N","NP63,GRHL2,OVOL2",3
"NP63,SNAI2;OVOL2,NP63;OVOL2,SNAI2","P","SNAI2,NP63,OVOL2",3
"ZEB1,miR-200c;miR-200c,TGF-beta;TGF-beta,GSC;GSC,ZEB1","P","ZEB1,miR-200c,TGF-beta,GSC",4
"miR-200c,ZEB1;miR-200c,TGF-beta;TGF-beta,GSC;GSC,ZEB1","P","ZEB1,miR-200c,TGF-beta,GSC",4
"ZEB2,miR-200c;miR-200c,TGF-beta;TGF-beta,GSC;GSC,ZEB2","P","ZEB2,miR-200c,TGF-beta,GSC",4
"miR-200c,ZEB2;miR-200c,TGF-beta;TGF-beta,GSC;GSC,ZEB2","P","ZEB2,miR-200c,TGF-beta,GSC",4
"ZEB1,miR-200b;miR-200b,TGF-beta;TGF-beta,GSC;GSC,ZEB1","P","ZEB1,miR-200b,TGF-beta,GSC",4
"miR-200b,ZEB1;miR-200b,TGF-beta;TGF-beta,GSC;GSC,ZEB1","P","ZEB1,miR-200b,TGF-beta,GSC",4
"ZEB2,miR-200b;miR-200b,TGF-beta;TGF-beta,GSC;GSC,ZEB2","P","ZEB2,miR-200b,TGF-beta,GSC",4
"miR-200b,ZEB2;miR-200b,TGF-beta;TGF-beta,GSC;GSC,ZEB2","P","ZEB2,miR-200b,TGF-beta,GSC",4
"SNAI2,miR-200b;miR-200b,TGF-beta;TGF-beta,SNAI2","P","SNAI2,miR-200b,TGF-beta",3
"ZEB1,miR-200a;miR-200a,TGF-beta;TGF-beta,GSC;GSC,ZEB1","P","ZEB1,miR-200a,TGF-beta,GSC",4
"miR-200a,ZEB1;miR-200a,TGF-beta;TGF-beta,GSC;GSC,ZEB1","P","ZEB1,miR-200a,TGF-beta,GSC",4
"ZEB2,miR-200a;miR-200a,TGF-beta;TGF-beta,GSC;GSC,ZEB2","P","ZEB2,miR-200a,TGF-beta,GSC",4
"miR-200a,ZEB2;miR-200a,TGF-beta;TGF-beta,GSC;GSC,ZEB2","P","ZEB2,miR-200a,TGF-beta,GSC",4
"ZEB1,miR-141;miR-141,TGF-beta;TGF-beta,GSC;GSC,ZEB1","P","ZEB1,miR-141,TGF-beta,GSC",4
"miR-141,ZEB1;miR-141,TGF-beta;TGF-beta,GSC;GSC,ZEB1","P","ZEB1,miR-141,TGF-beta,GSC",4
"miR-141,ZEB2;miR-141,TGF-beta;TGF-beta,GSC;GSC,ZEB2","P","ZEB2,miR-141,TGF-beta,GSC",4
"ZEB2,CDH1;TWIST1,ZEB2;TWIST1,CDH1","P","CDH1,ZEB2,TWIST1",3
"ZEB2,VIM;TWIST1,ZEB2;TWIST1,VIM","P","VIM,ZEB2,TWIST1",3
"ZEB2,ZEB2","P","ZEB2",1
"SNAI1,ZEB2;TWIST1,ZEB2;TWIST1,SNAI1","P","SNAI1,ZEB2,TWIST1",3
"SNAI1,ZEB2;TWIST1,ZEB2;SNAI1,TWIST1","P","SNAI1,ZEB2,TWIST1",3
"TWIST2,ZEB2;TWIST1,ZEB2;TWIST2,TWIST1","P","TWIST2,ZEB2,TWIST1",3
"miR-9,CDH1;miR-9,ZEB2;ZEB2,CDH1","N","CDH1,miR-9,ZEB2",3
"miR-30c,SNAI1;miR-30c,ZEB2;SNAI1,ZEB2","P","SNAI1,miR-30c,ZEB2",3
"miR-30c,SNAI2;miR-30c,ZEB2;TWIST1,ZEB2;TWIST1,SNAI2","P","SNAI2,miR-30c,ZEB2,TWIST1",4
"miR-205,ZEB1;miR-205,ZEB2;TWIST1,ZEB2;TWIST1,ZEB1","P","ZEB1,miR-205,ZEB2,TWIST1",4
"miR-101,ZEB1;miR-101,ZEB2;TWIST1,ZEB2;TWIST1,ZEB1","P","ZEB1,miR-101,ZEB2,TWIST1",4
"SNAI1,miR-101;miR-101,ZEB2;SNAI1,ZEB2","P","SNAI1,miR-101,ZEB2",3
"miR-101,SNAI1;miR-101,ZEB2;SNAI1,ZEB2","P","SNAI1,miR-101,ZEB2",3
"SNAI2,miR-101;miR-101,ZEB2;TWIST1,ZEB2;TWIST1,SNAI2","P","SNAI2,miR-101,ZEB2,TWIST1",4
"KLF8,CDH1;miR-101,KLF8;miR-101,ZEB2;ZEB2,CDH1","P","CDH1,KLF8,miR-101,ZEB2",4
"FOXC2,ZEB1;TWIST1,ZEB1;TWIST1,FOXC2","P","FOXC2,ZEB1,TWIST1",3
"ZEB1,CDH1;TWIST1,ZEB1;TWIST1,CDH1","P","CDH1,ZEB1,TWIST1",3
"ZEB1,VIM;TWIST1,ZEB1;TWIST1,VIM","P","VIM,ZEB1,TWIST1",3
"ZEB1,ZEB1","P","ZEB1",1
"SNAI1,ZEB1;TWIST1,ZEB1;TWIST1,SNAI1","P","SNAI1,ZEB1,TWIST1",3
"SNAI1,ZEB1;TWIST1,ZEB1;SNAI1,TWIST1","P","SNAI1,ZEB1,TWIST1",3
"TWIST2,ZEB1;TWIST1,ZEB1;TWIST2,TWIST1","P","TWIST2,ZEB1,TWIST1",3
"CLDN7,CDH1;ZEB1,CLDN7;ZEB1,CDH1","P","CDH1,CLDN7,ZEB1",3
"SNAI1,miR-34a;miR-34a,ZEB1;SNAI1,ZEB1","P","SNAI1,miR-34a,ZEB1",3
"miR-34a,SNAI1;miR-34a,ZEB1;SNAI1,ZEB1","P","SNAI1,miR-34a,ZEB1",3
"SNAI1,miR-34a;ZEB1,miR-34a;SNAI1,ZEB1","P","SNAI1,miR-34a,ZEB1",3
"miR-34a,SNAI1;ZEB1,miR-34a;SNAI1,ZEB1","P","SNAI1,miR-34a,ZEB1",3
"miR-34a,SNAI2;miR-34a,ZEB1;TWIST1,ZEB1;TWIST1,SNAI2","P","SNAI2,miR-34a,ZEB1,TWIST1",4
"miR-34a,SNAI2;ZEB1,miR-34a;TWIST1,ZEB1;TWIST1,SNAI2","P","SNAI2,miR-34a,ZEB1,TWIST1",4
"miR-34a,TWIST2;miR-34a,ZEB1;TWIST2,ZEB1","P","TWIST2,miR-34a,ZEB1",3
"miR-34a,TWIST2;ZEB1,miR-34a;TWIST2,ZEB1","P","TWIST2,miR-34a,ZEB1",3
"TCF3,CDH1;TWIST1,TCF3;TWIST1,CDH1","P","CDH1,TCF3,TWIST1",3
"CDH1,SNAI2;TWIST1,SNAI2;TWIST1,CDH1","P","CDH1,SNAI2,TWIST1",3
"SNAI2,CDH1;TWIST1,SNAI2;TWIST1,CDH1","P","CDH1,SNAI2,TWIST1",3
"SNAI1,SNAI2;TWIST1,SNAI2;TWIST1,SNAI1","P","SNAI1,SNAI2,TWIST1",3
"SNAI1,SNAI2;TWIST1,SNAI2;SNAI1,TWIST1","P","SNAI1,SNAI2,TWIST1",3
"SNAI2,VIM;TWIST1,SNAI2;TWIST1,VIM","P","VIM,SNAI2,TWIST1",3
"SNAI2,SNAI2","P","SNAI2",1
"TWIST2,SNAI2;TWIST1,SNAI2;TWIST2,TWIST1","P","TWIST2,SNAI2,TWIST1",3
"SNAI2,TWIST2;TWIST1,SNAI2;TWIST2,TWIST1","P","TWIST2,SNAI2,TWIST1",3
"SNAI1,FOXC2;TWIST1,FOXC2;TWIST1,SNAI1","P","SNAI1,FOXC2,TWIST1",3
"SNAI1,FOXC2;TWIST1,FOXC2;SNAI1,TWIST1","P","SNAI1,FOXC2,TWIST1",3
"SNAI1,VIM;TWIST1,VIM;TWIST1,SNAI1","P","SNAI1,VIM,TWIST1",3
"SNAI1,VIM;TWIST1,VIM;SNAI1,TWIST1","P","SNAI1,VIM,TWIST1",3
"SNAI1,CDH1;TWIST1,CDH1;TWIST1,SNAI1","P","SNAI1,CDH1,TWIST1",3
"SNAI1,CDH1;TWIST1,CDH1;SNAI1,TWIST1","P","SNAI1,CDH1,TWIST1",3
"TWIST2,CDH1;TWIST1,CDH1;TWIST2,TWIST1","P","TWIST2,CDH1,TWIST1",3
"TWIST2,SNAI1;TWIST2,TWIST1;TWIST1,SNAI1","P","SNAI1,TWIST2,TWIST1",3
"TWIST2,SNAI1;TWIST2,TWIST1;SNAI1,TWIST1","P","SNAI1,TWIST2,TWIST1",3
"SNAI1,SNAI1","N","SNAI1",1
