"EdgeList","Nature","Cycles","Edge_count"
"SNAIL1,ZEB1;ZEB1,VIM;SNAIL1,VIM","P","SNAIL1,ZEB1,VIM",3
"ESRP1,CD44s;CD44s,ZEB1;ZEB1,ESRP1","P","ESRP1,CD44s,ZEB1",3
"HAS2,HA;HA,ZEB1;ZEB1,HAS2","P","HAS2,HA,ZEB1",3
"GRHL2,CD24;CD24,ZEB1;ZEB1,GRHL2","P","GRHL2,CD24,ZEB1",3
"GRHL2,CD24;CD24,ZEB1;GRHL2,ZEB1","P","GRHL2,CD24,ZEB1",3
"MIR-200,TGFB;MIR-190,TGFB;ZEB1,MIR-190;ZEB1,MIR-200","P","MIR-200,TGFB,MIR-190,ZEB1",4
"TGFB,SNAIL1;MIR-190,TGFB;ZEB1,MIR-190;SNAIL1,ZEB1","P","SNAIL1,TGFB,MIR-190,ZEB1",4
"SNAIL1,CDH1;ZEB1,CDH1;SNAIL1,ZEB1","P","SNAIL1,CDH1,ZEB1",3
"CDH1,EMT;ZEB1,CDH1;ZEB1,VIM;VIM,EMT","P","EMT,CDH1,ZEB1,VIM",4
"SNAIL1,MIR-34;ZEB1,MIR-34;SNAIL1,ZEB1","P","SNAIL1,MIR-34,ZEB1",3
"MIR-34,SNAIL1;ZEB1,MIR-34;SNAIL1,ZEB1","P","SNAIL1,MIR-34,ZEB1",3
"SNAIL1,MIR-200;ZEB1,MIR-200;SNAIL1,ZEB1","P","SNAIL1,MIR-200,ZEB1",3
"SNAIL1,SNAIL1","N","SNAIL1",1
