"EdgeList","Nature","Cycles","Edge_count"
"SNAIL,ZEB;SNAIL,miR34;ZEB,miR34","N","ZEB,SNAIL,miR34",3
"SNAIL,ZEB;miR34,SNAIL;ZEB,miR34","P","ZEB,SNAIL,miR34",3
"SNAIL,SNAIL","N","SNAIL",1
"ZEB,miR200;SNAIL,miR200;SNAIL,ZEB","N","ZEB,miR200,SNAIL",3
"miR200,ZEB;SNAIL,miR200;SNAIL,ZEB","N","ZEB,miR200,SNAIL",3
"ZEB,OVOL2;OVOL2,miR200;miR200,ZEB","N","ZEB,OVOL2,miR200",3
"OVOL2,ZEB;OVOL2,miR200;miR200,ZEB","N","ZEB,OVOL2,miR200",3
"ZEB,OVOL2;OVOL2,miR200;ZEB,miR200","N","ZEB,OVOL2,miR200",3
"OVOL2,ZEB;OVOL2,miR200;ZEB,miR200","N","ZEB,OVOL2,miR200",3
"OVOL2,OVOL2","P","OVOL2",1
"KEAP1,NRF2;miR200,KEAP1;SNAIL,miR200;NRF2,SNAIL","P","NRF2,KEAP1,miR200,SNAIL",4
"ZEB,Ecad;Ecad,NRF2;NRF2,SNAIL;SNAIL,ZEB","P","ZEB,Ecad,NRF2,SNAIL",4
"Ecad,ZEB;Ecad,NRF2;NRF2,SNAIL;SNAIL,ZEB","P","ZEB,Ecad,NRF2,SNAIL",4
"ZEB,ZEB","N","ZEB",1
